------------------------------OpenMP------------------------
integrate_omp_seq
         T	      Time	    Result	  Speedup
        36	 0.0418949	  0.666667	   54.3625
        37	 0.0397978	  0.666667	    57.227
        38	  0.038694	  0.666667	   58.8595
        39	 0.0376453	  0.666667	   60.4992
        40	 0.0368845	  0.666667	    61.747
        41	 0.0360133	  0.666667	   63.2408
        42	 0.0351416	  0.666667	   64.8095
        43	 0.0354317	  0.666667	   64.2788
        44	 0.0344141	  0.666667	   66.1795
        45	 0.0347034	  0.666667	   65.6279
        46	 0.0324399	  0.666667	    70.207
        47	 0.0319151	  0.666667	   71.3614
        48	 0.0314957	  0.666667	   72.3117
integrate_cpp_atomic
         T	      Time	    Result	  Speedup
         1	   1.76804	  0.666667	         1
         2	  0.732056	  0.666667	   2.41516
         3	  0.446397	  0.666667	   3.96068
         4	  0.466201	  0.666667	   3.79243
         5	   0.33495	  0.666667	    5.2785
         6	  0.234774	  0.666667	   7.53078
         7	  0.193029	  0.666667	   9.15941
         8	  0.253421	  0.666667	   6.97667
         9	  0.290583	  0.666667	   6.08444
        10	  0.249873	  0.666667	   7.07573
        11	  0.199564	  0.666667	   8.85948
        12	  0.198591	  0.666667	    8.9029
        13	  0.195301	  0.666667	   9.05288
        14	  0.182354	  0.666667	   9.69564
        15	  0.139134	  0.666667	   12.7074
        16	  0.119473	  0.666667	   14.7986
        17	  0.102611	  0.666667	   17.2305
        18	  0.089077	  0.666667	   19.8484
        19	 0.0809174	  0.666667	   21.8499
        20	  0.070802	  0.666667	   24.9716
        21	 0.0666893	  0.666667	   26.5115
        22	 0.0639164	  0.666667	   27.6617
        23	 0.0621415	  0.666667	   28.4518
        24	 0.0586309	  0.666667	   30.1554
        25	  0.108015	  0.666667	   16.3684
        26	 0.0976129	  0.666667	   18.1127
        27	 0.0938271	  0.666667	   18.8436
        28	 0.0910473	  0.666667	   19.4189
        29	 0.0849217	  0.666667	   20.8196
        30	 0.0751199	  0.666667	   23.5362
        31	  0.068614	  0.666667	   25.7678
        32	 0.0612143	  0.666667	   28.8827
        33	 0.0572907	  0.666667	   30.8608
        34	 0.0535292	  0.666667	   33.0293
        35	 0.0498885	  0.666667	   35.4398
        36	 0.0474731	  0.666667	   37.2429
        37	 0.0449289	  0.666667	   39.3519
        38	 0.0436515	  0.666667	   40.5035
        39	 0.0410475	  0.666667	   43.0729
        40	 0.0384457	  0.666667	   45.9879
        41	 0.0373419	  0.666667	   47.3472
        42	 0.0356574	  0.666667	   49.5839
        43	 0.0345545	  0.666667	   51.1666
        44	 0.0341368	  0.666667	   51.7927
